mo,hr,lo_frac,mi_frac,hi_frac
4,18,0.01343716597953886,0.12688960146587264,0.9273171476561307
4,19,0.025192012288786484,0.12795698924731186,0.9187403993855606
4,20,0.01963449629965262,0.1265669838392992,0.9145144238030508
4,21,0.03710490151168117,0.10597037715681784,0.9242632462971446
4,22,0.07067857702554457,0.11957373452436922,0.89876194953769
4,23,0.09943399112742847,0.13201774514303197,0.8901636836469327
5,0,0.07553858740114536,0.21461685301336245,0.9698209253704209
5,1,0.09882716610600963,0.1720156377852532,0.9610873715792344
5,2,0.10936770337162603,0.1909031474736154,0.9516204352292892
5,3,0.09972401103955841,0.17948482060717574,0.9530818767249312
5,4,0.10802497902880046,0.15490726069531177,0.9584304222201511
5,5,0.0825417933130699,0.15938449848024316,0.9818579027355623
5,6,0.13806531551464732,0.19736259846004073,0.9302593149836269
5,7,0.09633318243549116,0.18895427795382524,0.9429606156631959
5,8,0.1089430894308943,0.19358626919602528,0.9409214092140922
5,9,0.10266159695817491,0.2029119910970973,0.942038393767968
5,10,0.1268122764074562,0.2041988326115609,0.9284503859913387
5,11,0.15541044776119403,0.241044776119403,0.9099813432835822
5,12,0.14382402707275804,0.2490129723632262,0.922823839067494
5,13,0.14366694545116626,0.3083356565374965,0.8996375801505437
5,14,0.12006780299463227,0.3238534701949336,0.8820981260005649
5,15,0.148068669527897,0.3411041747951619,0.8905579399141631
5,16,0.09293528269093139,0.31765668132092834,0.8847766077088233
5,17,0.06308434209231374,0.3258537545517173,0.9325853754551716
5,18,0.05981623851490718,0.3183948996812301,0.9088693043315207
5,19,0.04222576710143568,0.29736323543211035,0.9345969785117765
5,20,0.053166012070121664,0.2948558291024045,0.9481751125586743
5,21,0.06646377380718634,0.2902022383663852,0.9436481445120753
5,22,0.07565101691693595,0.2445352594563771,0.945067477665843
5,23,0.06521739130434784,0.24014801110083261,0.95522664199815
6,0,0.02067043431137261,0.27181234032670126,0.9634590075094837
6,1,0.016233518786677843,0.247161039554912,0.9669232528008537
6,2,0.015284503631961259,0.24500605326876512,0.9661016949152542
6,3,0.008382489909965849,0.19892890406705993,0.9777243092207389
6,4,0.01488095238095238,0.19768170426065163,0.9841791979949873
6,5,0.012955854126679463,0.21201215611004476,1.0120761356365962
6,6,0.020470349246034844,0.2250175794983983,0.9859364012813501
6,7,0.007820363917924894,0.2,0.9857530003871469
6,8,0.005639844308523314,0.18206370641035824,0.9906267376280881
6,9,0.0153496749941264,0.17918396115592453,0.9917769598245751
6,10,0.0276881931880752,0.158892472272477,0.9778179815936443
6,11,0.06211625867155729,0.16872657682800415,0.9784706163782793
6,12,0.06989203669128988,0.19814920042211218,0.964526341423817
6,13,0.08554382004353785,0.19914536805611543,0.9535596226719342
6,14,0.0890309503391284,0.27707180166835577,0.94823419349809
6,15,0.08707187650747708,0.3281074127673259,0.9475799967840489
6,16,0.04780583476342241,0.2857726566969028,0.9506414970989621
6,17,0.025371186164137704,0.28724098547887095,0.991434165442976
6,18,0.018254747871643745,0.2906024885396202,0.9615258677144729
